MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Bhola Singh,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Graduate,Graduate,39,35,7,107,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Bhuwan Chandra Khanduri,Elected,18-May-14,In office,Fifth,Defence,Uttarakhand,Garhwal,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.E., M.I.E. (India), Long Defence Management Course 
Educated at Allahabad University, Allahabad (Uttar Pradesh), College of Military Engineering, Pune (Maharashtra)",82,12,5,104,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.2,3.6,91,90%
Bidyut Baran Mahato,Elected,18-May-14,In office,First,Industry,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,I. Sc.,54,64,0,485,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Bijoy Chandra Barman,Elected,18-May-14,In office,First,Human Resource Development,West Bengal,Jalpaiguri,All India Trinamool Congress,Male,Post Graduate,"M.A., B.Ed.",59,1,0,0,51%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Bijoya Chakravarty,Elected,18-May-14,In office,Third,Commerce,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",77,26,0,35,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Biren Singh Engti,Elected,18-May-14,In office,Seventh,Rural Development ,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",72,0,1,1,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Birendra Kumar Chaudhary,Elected,18-May-14,In office,First,Industry,Bihar,Jhanjharpur,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B",64,29,0,32,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Bishnu Pada Ray,Elected,18-May-14,In office,Third,Home Affairs,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",66,23,0,67,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,23,0,67,88%
Bodhsingh Bhagat,Elected,18-May-14,In office,First,Commerce,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,B. Sc.,61,17,0,53,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Boora Narsaiah Goud,Elected,18-May-14,In office,First,Labour ,Telangana,Bhongir,Telangana Rashtra Samithi,Male,Professional Post Graduate,M.S.(General Surgery),58,48,6,126,59%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Brij Bhushan Sharan Singh,Elected,18-May-14,In office,Fifth,Urban Development,Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",60,6,0,22,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Butta Renuka,Elected,18-May-14,In office,First,Rural Development ,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,Female,Inter/ Higher Secondary,Higher Secondary,45,28,0,82,63%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
C. Gopalakrishnan,Elected,18-May-14,In office,First,Finance,Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., M.Phil (Socio), M.Phil (ENP), L.L.B",55,28,0,414,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
C. L. Ruala,Elected,18-May-14,In office,Second,Agriculture,Mizoram,Mizoram,Indian National Congress,Male,Professional Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",81,2,0,3,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,2,0,3,91%
C. Mahendran,Elected,18-May-14,In office,First,Agriculture,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.,44,35,0,267,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
C. R. Patil,Elected,18-May-14,In office,Second,Health and Family Welfare,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",62,6,6,253,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
C.N. Jayadevan,Elected,18-May-14,In office,First,Labour ,Kerala,Thrissur,Communist Party of India,Male,Graduate,B.A.,66,43,0,280,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
C.R. Choudhary,Elected,18-May-14,In office,First,No,Rajasthan,Nagaur,Bharatiya Janata Party,Male,Post Graduate,M.A. (Geography),69,133,0,322,97%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,85.4,2.4,202,89%
C.S. Puttaraju,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Karnataka,Mandya,Janata Dal (Secular),Male,Information not available,P.U.C.,52,1,0,448,63%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Chand Nath,Elected,18-May-14,In office,First,Human Resource Development,Rajasthan,Alwar,Bharatiya Janata Party,Male,Graduate,"B.A., (Deemed) Doctorate",60,23,0,88,54%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Chandra Prakash Joshi,Elected,18-May-14,In office,First,Railways ,Rajasthan,Chittorgarh,Bharatiya Janata Party,Male,Graduate,B.Com.,41,308,4,416,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Chandrakant Bhaurao Khaire,Elected,18-May-14,In office,Fourth,Finance,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",65,53,10,413,75%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Chandu Lal Sahu,Elected,18-May-14,In office,Second,Coal & Steel,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",57,14,0,102,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Charanjeet Singh Rori,Elected,18-May-14,In office,First,Urban Development,Haryana,Sirsa,Indian National Lok Dal,Male,Matric,Matric,47,8,0,73,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43.1,2.3,170,87%
Chauhan Devusinh Jesingbhai,Elected,18-May-14,In office,First,Water Resources ,Gujarat,Kheda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,52,17,0,153,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Chavda Vinod Lakhamashi,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Gujarat,Kachchh,Bharatiya Janata Party,Male,Professional Graduate,"L.L.B., B.Ed.",38,7,0,151,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Chhedi Paswan,Elected,18-May-14,In office,Third,Chemicals & Fertilizers,Bihar,Sasaram,Bharatiya Janata Party,Male,Post Graduate,M.A.,61,31,0,35,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Chhotelal,Elected,18-May-14,In office,First,Commerce,Uttar Pradesh,Robertsganj,Bharatiya Janata Party,Male,Under Matric,Information not available,44,19,0,26,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Chintaman Navasha Wanga,Elected,18-May-14,In office,Third,Rural Development ,Maharashtra,Palghar,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL.B. 
Educated at Bombay University, Mumbai (Maharashtra)",66,24,0,211,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Chintamani Malviya,Elected,18-May-14,In office,First,Human Resource Development,Madhya Pradesh,Ujjain,Bharatiya Janata Party,Male,Doctorate,"M.A., M.Phil. Ph.D.",48,19,0,80,69%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Chirag Kumar Paswan,Elected,18-May-14,In office,First,"Health and Family Welfare and Science & Technology, Environment & Forests",Bihar,Jamui,Lok Jan Shakti Party,Male,Professional Graduate,B. Tech Computer Science,34,15,0,77,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Choudhury Mohan Jatua,Elected,18-May-14,In office,Second,Urban Development,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,78,0,0,0,73%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Chudasama Rajeshbhai Naranbhai,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Gujarat,Junagadh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,34,5,0,308,73%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Conrad Kongkal Sangma,Elected,19-May-16,In office,First,Energy,Meghalaya,Tura,National Peoples Party,Male,Professional Post Graduate,"BBA (Entrepreneurial Management), MBA (Finance), Educated at University of Pennsylvania and Imperial College, University of London",39,4,0,10,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),10.3,0.4,44,81%,2.1,0,24,82%
D.K. Suresh,Elected,18-May-14,In office,Second,Information Technology,Karnataka,Bangalore Rural,Indian National Congress,Male,Inter/ Higher Secondary,Inter/Higher Secondary,50,70,0,408,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
D.V. Sadananda Gowda,Elected,18-May-14,In office,Third,No,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daddan Mishra,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Uttar Pradesh,Shrawasti,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed.",49,89,1,35,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Dalpat Singh Paraste,Elected,18-May-14,01/06/2016,Fifth,Agriculture,Madhya Pradesh,Shahdol,Bharatiya Janata Party,Male,Professional Graduate,B.A.. LL.B,66,4,0,224,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),35,1,136,81%,36.1,0.6,124,82%
Darshana Vikram Jardosh,Elected,18-May-14,In office,Second,Industry,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",56,55,3,228,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Dasrath Tirkey,Elected,18-May-14,In office,First,Health and Family Welfare,West Bengal,Alipurduars,All India Trinamool Congress,Male,Graduate,B.Com.,50,2,0,0,68%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Dayakar Pasunoori,Elected,26-Nov-15,In office,First,Labour ,Telangana,Warangal,Telangana Rashtra Samithi,Male,Information not available,Information not available,49,0,1,0,48%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),25.5,0.8,90,81%,12.9,1,94,71%
Deepender Singh Hooda,Elected,18-May-14,In office,Third,Energy,Haryana,Rohtak,Indian National Congress,Male,Professional Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",39,35,2,41,78%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43.1,2.3,170,87%
Devendra Singh @ Bhole Singh,Elected,18-May-14,In office,First,Energy,Uttar Pradesh,Akbarpur,Bharatiya Janata Party,Male,Matric,High School,62,48,0,54,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Devji Patel,Elected,18-May-14,In office,Second,Agriculture,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,Matriculation,40,157,9,386,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Dhananjay Bhimrao Mahadik,Elected,18-May-14,In office,First,Commerce,Maharashtra,Kolhapur,Nationalist Congress Party,Male,Graduate,B.Com.,45,29,0,704,69%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Dharam Vira Gandhi,Elected,18-May-14,In office,First,Urban Development,Punjab,Patiala,Aam Aadmi Party,Male,Doctorate,"M.D. (Medicine), Asst. Professor (Cardiology)",65,42,4,15,58%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Dharambir,Elected,18-May-14,In office,First,Defence,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,Male,Graduate,Graduate,62,8,0,128,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43.1,2.3,170,87%
Dharmendra Kumar,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Aonla,Bharatiya Janata Party,Male,Matric,High School,48,7,0,0,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Dharmendra Yadav,Elected,18-May-14,In office,Third,Agriculture,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",38,44,0,641,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Dhruva Narayana Rangaswamy,Elected,18-May-14,In office,Second,Chemicals & Fertilizers,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",55,90,2,492,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Dibyendu Adhikari,Elected,25-Nov-16,In office,First,Commerce,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) 1998, Contai Pravat Kumar College, Vidyasagar University",35,0,0,4,68%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),3.5,0.2,19,81%,2.1,0.1,5,67%
Dileepsingh Bhuria,Elected,18-May-14,24/06/2015,Sixth,Social Justice & Empowerment,Madhya Pradesh,Ratlam,Bharatiya Janata Party,Male,Matric,High School,72,2,0,92,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),17.9,0.5,70,81%,13.5,0.5,58,82%
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-14,In office,Third,Urban Development,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",65,32,2,244,72%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
